t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,-2.071948E-08,3.461708E-08,3.543463E-08,3.760579E-08,-5.430991E-08,4.915043E-08
4.000000E-01,-1.108297E-07,1.830456E-07,1.952983E-07,1.939452E-07,-2.957546E-07,2.520314E-07
5.000000E-01,-3.497134E-07,5.726937E-07,6.309378E-07,5.916213E-07,-9.448709E-07,7.661223E-07
6.000000E-01,-8.546868E-07,1.389563E-06,1.576652E-06,1.398865E-06,-2.334717E-06,1.803842E-06
7.000000E-01,-1.770065E-06,2.859493E-06,3.339727E-06,2.802423E-06,-4.887209E-06,3.592128E-06
8.000000E-01,-3.264212E-06,5.244195E-06,6.302433E-06,4.997673E-06,-9.107118E-06,6.353063E-06
9.000000E-01,-5.521992E-06,8.830886E-06,1.091841E-05,8.175085E-06,-1.556576E-05,1.027484E-05
1.000000E+00,-8.736523E-06,1.392251E-05,1.770623E-05,1.250829E-05,-2.487865E-05,1.548397E-05
1.100000E+00,-1.309926E-05,2.082690E-05,2.724113E-05,1.814417E-05,-3.767828E-05,2.201703E-05
1.200000E+00,-1.878941E-05,2.984667E-05,4.014533E-05,2.519588E-05,-5.458231E-05,2.979510E-05
1.300000E+00,-2.596279E-05,4.126979E-05,5.707765E-05,3.373887E-05,-7.615819E-05,3.860175E-05
1.400000E+00,-3.474079E-05,5.536154E-05,7.872273E-05,4.381025E-05,-1.028854E-04,4.806603E-05
1.500000E+00,-4.519966E-05,7.235783E-05,1.057805E-04,5.541090E-05,-1.351163E-04,5.765103E-05
1.600000E+00,-5.736072E-05,9.246005E-05,1.389554E-04,6.850994E-05,-1.730373E-04,6.664859E-05
1.700000E+00,-7.118172E-05,1.158312E-04,1.789462E-04,8.305051E-05,-2.166318E-04,7.418000E-05
1.800000E+00,-8.654974E-05,1.425930E-04,2.264343E-04,9.895582E-05,-2.656452E-04,7.920232E-05
1.900000E+00,-1.032757E-04,1.728235E-04,2.820725E-04,1.161342E-04,-3.195553E-04,8.051947E-05
2.000000E+00,-1.210907E-04,2.065543E-04,3.464709E-04,1.344814E-04,-3.775468E-04,7.679715E-05
2.100000E+00,-1.396441E-04,2.437676E-04,4.201815E-04,1.538798E-04,-4.384931E-04,6.658029E-05
2.200000E+00,-1.585024E-04,2.843912E-04,5.036803E-04,1.741920E-04,-5.009434E-04,4.831206E-05
2.300000E+00,-1.771508E-04,3.282910E-04,5.973464E-04,1.952490E-04,-5.631172E-04,2.035327E-05
2.400000E+00,-1.949937E-04,3.752617E-04,7.014392E-04,2.168314E-04,-6.229058E-04,-1.899857E-05
2.500000E+00,-2.113571E-04,4.250136E-04,8.160724E-04,2.386450E-04,-6.778790E-04,-7.149110E-05
2.600000E+00,-2.254904E-04,4.771556E-04,9.411874E-04,2.602886E-04,-7.252981E-04,-1.389001E-04
2.700000E+00,-2.365673E-04,5.311751E-04,1.076525E-03,2.812177E-04,-7.621334E-04,-2.230133E-04
2.800000E+00,-2.436874E-04,5.864141E-04,1.221598E-03,3.007028E-04,-7.850861E-04,-3.256155E-04
2.900000E+00,-2.458756E-04,6.420422E-04,1.375663E-03,3.177853E-04,-7.906130E-04,-4.484728E-04
3.000000E+00,-2.420815E-04,6.970272E-04,1.537698E-03,3.312327E-04,-7.749549E-04,-5.933173E-04
3.100000E+00,-2.311781E-04,7.501046E-04,1.706376E-03,3.394952E-04,-7.341670E-04,-7.618296E-04
3.200000E+00,-2.119597E-04,7.997460E-04,1.880050E-03,3.406664E-04,-6.641523E-04,-9.556202E-04
3.300000E+00,-1.831406E-04,8.441298E-04,2.056733E-03,3.324507E-04,-5.606978E-04,-1.176206E-03
3.400000E+00,-1.433541E-04,8.811130E-04,2.234093E-03,3.121386E-04,-4.195138E-04,-1.424988E-03
