t (s),<greek>z</greek> (m)
1.000000E-01,0.000000E+00
2.000000E-01,-1.261595E-05
3.000000E-01,-4.930516E-05
4.000000E-01,-1.085668E-04
5.000000E-01,-1.901566E-04
6.000000E-01,-2.955912E-04
7.000000E-01,-4.276419E-04
8.000000E-01,-5.889708E-04
9.000000E-01,-7.804441E-04
1.000000E+00,-9.998337E-04
1.100000E+00,-1.241520E-03
1.200000E+00,-1.497451E-03
1.300000E+00,-1.759083E-03
1.400000E+00,-2.019560E-03
1.500000E+00,-2.275033E-03
1.600000E+00,-2.524125E-03
1.700000E+00,-2.764959E-03
1.800000E+00,-2.989937E-03
1.900000E+00,-3.179398E-03
2.000000E+00,-3.296086E-03
2.100000E+00,-3.282735E-03
2.200000E+00,-3.064930E-03
2.300000E+00,-2.560479E-03
2.400000E+00,-1.695080E-03
2.500000E+00,-4.223019E-04
2.600000E+00,1.255801E-03
2.700000E+00,3.272208E-03
2.800000E+00,5.487533E-03
2.900000E+00,7.695665E-03
3.000000E+00,9.644245E-03
3.100000E+00,1.106886E-02
3.200000E+00,1.173659E-02
3.300000E+00,1.149178E-02
3.400000E+00,1.029522E-02
3.500000E+00,8.247922E-03
3.600000E+00,5.592596E-03
3.700000E+00,2.689461E-03
3.800000E+00,-3.220636E-05
3.900000E+00,-2.140302E-03
4.000000E+00,-3.273214E-03
4.100000E+00,-3.206930E-03
4.200000E+00,-1.902550E-03
4.300000E+00,4.766504E-04
4.400000E+00,3.584461E-03
4.500000E+00,6.946598E-03
4.600000E+00,1.004354E-02
4.700000E+00,1.240778E-02
4.800000E+00,1.371804E-02
4.900000E+00,1.387284E-02
5.000000E+00,1.302809E-02
5.100000E+00,1.158999E-02
5.200000E+00,1.016201E-02
5.300000E+00,9.453662E-03
5.400000E+00,1.016598E-02
5.500000E+00,1.287365E-02
5.600000E+00,1.792475E-02
5.700000E+00,2.537627E-02
5.800000E+00,3.497718E-02
5.900000E+00,4.620194E-02
6.000000E+00,5.832793E-02
6.100000E+00,7.054215E-02
6.200000E+00,8.205717E-02
6.300000E+00,9.221482E-02
6.400000E+00,1.005593E-01
6.500000E+00,1.068678E-01
6.600000E+00,1.111362E-01
6.700000E+00,1.135250E-01
6.800000E+00,1.142827E-01
6.900000E+00,1.136619E-01
7.000000E+00,1.118512E-01
7.100000E+00,1.089358E-01
7.200000E+00,1.048967E-01
7.300000E+00,9.964582E-02
7.400000E+00,9.308902E-02
7.500000E+00,8.519759E-02
7.600000E+00,7.607040E-02
7.700000E+00,6.596762E-02
7.800000E+00,5.530431E-02
7.900000E+00,4.460110E-02
8.000000E+00,3.439964E-02
8.100000E+00,2.515975E-02
8.200000E+00,1.716075E-02
8.300000E+00,1.043068E-02
8.400000E+00,4.722464E-03
8.500000E+00,-4.532562E-04
8.600000E+00,-5.740412E-03
8.700000E+00,-1.180974E-02
8.800000E+00,-1.921541E-02
8.900000E+00,-2.826608E-02
9.000000E+00,-3.893937E-02
9.100000E+00,-5.086175E-02
9.200000E+00,-6.336317E-02
9.300000E+00,-7.560050E-02
9.400000E+00,-8.672886E-02
9.500000E+00,-9.608825E-02
9.600000E+00,-1.033672E-01
9.700000E+00,-1.087077E-01
9.800000E+00,-1.127247E-01
9.900000E+00,-1.164296E-01
1.000000E+01,-1.210663E-01
1.010000E+01,-1.278848E-01
1.020000E+01,-1.378941E-01
1.030000E+01,-1.516394E-01
1.040000E+01,-1.690488E-01
1.050000E+01,-1.893819E-01
1.060000E+01,-2.112953E-01
1.070000E+01,-2.330183E-01
1.080000E+01,-2.526101E-01
1.090000E+01,-2.682550E-01
